

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2011 203 02 00 00.000        31.375        27.319       -18.724        45.621        -1.199         0.910        -0.170         1.514
2011 204 02 00 00.000        29.461        28.415       -18.839        45.059        -1.492         0.641         0.011         1.624
2011 205 02 00 00.000        27.131        29.112       -18.687        43.964        -1.781         0.348         0.203         1.826
2011 206 02 00 00.000        24.388        29.366       -18.249        42.311        -2.070         0.021         0.411         2.110
2011 207 02 00 00.000        21.228        29.120       -17.499        40.060        -2.364        -0.356         0.641         2.475
2011 208 02 00 00.000        17.639        28.288       -16.394        37.150        -2.668        -0.804         0.907         2.930
2011 209 02 00 00.000        13.603        26.741       -14.873        33.486        -2.987        -1.366         1.227         3.507
2011 210 02 00 00.000         9.096        24.263       -12.834        28.916        -3.323        -2.124         1.639         4.270
2011 211 02 00 00.000         4.105        20.458       -10.093        23.179        -3.653        -3.273         2.226         5.386
2011 212 02 00 00.000        -1.271        14.406        -6.255        15.756        -3.772        -5.464         3.242         7.389
2011 213 02 00 00.000        -5.087         2.625        -0.146         5.726         1.370       -12.747         5.483        13.944
2011 214 02 00 00.000         9.822        -4.764         0.141        10.917         8.896         1.931        -2.695         9.494
2011 215 02 00 00.000        19.268        -0.959        -3.519        19.610         4.987         2.936        -2.350         6.246
2011 216 02 00 00.000        25.084         3.221        -6.606        26.139         3.295         2.869        -1.973         4.793
2011 217 02 00 00.000        29.020         7.184        -9.212        31.283         2.260         2.674        -1.672         3.880
2011 218 02 00 00.000        31.712        10.844       -11.425        35.409         1.522         2.455        -1.422         3.220
2011 219 02 00 00.000        33.473        14.187       -13.304        38.714         0.946         2.234        -1.203         2.708
2011 220 02 00 00.000        34.487        17.212       -14.885        41.318         0.469         2.013        -1.005         2.298
2011 221 02 00 00.000        34.868        19.920       -16.192        43.299         0.057         1.792        -0.820         1.972
2011 222 02 00 00.000        34.695        22.309       -17.241        44.707        -0.310         1.569        -0.643         1.724
2011 223 02 00 00.000        34.020        24.376       -18.039        45.574        -0.646         1.341        -0.471         1.561
2011 224 02 00 00.000        32.881        26.111       -18.591        45.919        -0.960         1.104        -0.298         1.493
2011 225 02 00 00.000        31.304        27.497       -18.893        45.749        -1.260         0.854        -0.123         1.526
2011 226 02 00 00.000        29.305        28.514       -18.940        45.061        -1.551         0.585         0.059         1.658
2011 227 02 00 00.000        26.892        29.128       -18.719        43.841        -1.839         0.290         0.252         1.878
2011 228 02 00 00.000        24.066        29.297       -18.209        42.060        -2.128        -0.041         0.462         2.178
2011 229 02 00 00.000        20.821        28.958       -17.381        39.676        -2.424        -0.425         0.697         2.558
2011 230 02 00 00.000        17.143        28.018       -16.192        36.621        -2.732        -0.886         0.970         3.031
2011 231 02 00 00.000        13.011        26.338       -14.573        32.792        -3.056        -1.472         1.302         3.634
2011 232 02 00 00.000         8.401        23.680       -12.411        28.025        -3.398        -2.276         1.735         4.443
2011 233 02 00 00.000         3.300        19.594        -9.503        22.025        -3.726        -3.532         2.370         5.655
2011 234 02 00 00.000        -2.134        12.968        -5.382        14.201        -3.728        -6.096         3.524         7.967
2011 235 02 00 00.000        -4.017        -0.783         1.197         4.264         7.757       -13.768         4.557        16.446
2011 236 02 00 00.000        11.900        -4.320        -0.564        12.673         7.848         2.302        -2.687         8.609
2011 237 02 00 00.000        20.476        -0.401        -4.136        20.893         4.628         2.905        -2.280         5.921
2011 238 02 00 00.000        25.918         3.706        -7.134        27.136         3.103         2.810        -1.917         4.604
2011 239 02 00 00.000        29.634         7.584        -9.666        32.080         2.136         2.617        -1.626         3.748
2011 240 02 00 00.000        32.173        11.166       -11.817        36.048         1.431         2.403        -1.381         3.120
2011 241 02 00 00.000        33.819        14.437       -13.641        39.221         0.874         2.187        -1.166         2.628
2011 242 02 00 00.000        34.739        17.398       -15.171        41.709         0.409         1.970        -0.971         2.234
2011 243 02 00 00.000        35.040        20.047       -16.429        43.584         0.004         1.753        -0.787         1.922
2011 244 02 00 00.000        34.794        22.382       -17.431        44.894        -0.358         1.532        -0.611         1.688
2011 245 02 00 00.000        34.052        24.398       -18.182        45.666        -0.692         1.306        -0.438         1.541
2011 246 02 00 00.000        32.849        26.083       -18.687        45.919        -1.005         1.069        -0.265         1.491
2011 247 02 00 00.000        31.207        27.420       -18.941        45.656        -1.305         0.819        -0.089         1.543
2011 248 02 00 00.000        29.142        28.386       -18.937        44.874        -1.597         0.549         0.095         1.692
2011 249 02 00 00.000        26.660        28.947       -18.661        43.554        -1.888         0.251         0.291         1.927
2011 250 02 00 00.000        23.761        29.056       -18.093        41.667        -2.181        -0.086         0.506         2.241
2011 251 02 00 00.000        20.435        28.647       -17.199        39.167        -2.483        -0.479         0.746         2.636
2011 252 02 00 00.000        16.669        27.620       -15.933        35.980        -2.797        -0.956         1.028         3.130
2011 253 02 00 00.000        12.437        25.823       -14.221        31.996        -3.131        -1.569         1.374         3.762
2011 254 02 00 00.000         7.713        22.991       -11.939        27.030        -3.481        -2.429         1.835         4.624
2011 255 02 00 00.000         2.495        18.597        -8.850        20.746        -3.766        -3.888         2.549         5.983
2011 256 02 00 00.000        -2.515        11.375        -4.539        12.502        -3.325        -6.819         3.765         8.469
2011 257 02 00 00.000         0.799        -3.583         1.428         3.939        16.381        -4.539        -1.516        17.065
2011 258 02 00 00.000        14.523        -0.180        -3.065        14.844         5.795         3.720        -2.916         7.478
2011 259 02 00 00.000        20.744         4.985        -6.723        22.369         3.251         3.435        -2.238         5.232
2011 260 02 00 00.000        24.408         9.603        -9.584        27.925         1.962         3.027        -1.777         4.022
2011 261 02 00 00.000        26.585        13.649       -11.867        32.154         1.114         2.642        -1.421         3.200
2011 262 02 00 00.000        27.716        17.161       -13.685        35.355         0.478         2.282        -1.122         2.588
2011 263 02 00 00.000        28.033        20.169       -15.100        37.691        -0.036         1.938        -0.856         2.119
2011 264 02 00 00.000        27.668        22.686       -16.155        39.258        -0.478         1.598        -0.614         1.777
2011 265 02 00 00.000        26.712        24.717       -16.863        40.111        -0.869         1.257        -0.376         1.573
2011 266 02 00 00.000        25.221        26.254       -17.233        40.278        -1.228         0.904        -0.139         1.531
2011 267 02 00 00.000        23.231        27.271       -17.260        39.765        -1.568         0.529         0.103         1.658
2011 268 02 00 00.000        20.762        27.728       -16.932        38.556        -1.897         0.118         0.359         1.934
2011 269 02 00 00.000        17.825        27.558       -16.219        36.609        -2.224        -0.350         0.640         2.340
2011 270 02 00 00.000        14.416        26.661       -15.077        33.851        -2.555        -0.908         0.963         2.877
2011 271 02 00 00.000        10.524        24.868       -13.426        30.156        -2.897        -1.616         1.355         3.584
2011 272 02 00 00.000         6.133        21.882       -11.132        25.306        -3.247        -2.607         1.875         4.566
2011 273 02 00 00.000         1.262        17.085        -7.920        18.874        -3.538        -4.257         2.677         6.149
2011 274 02 00 00.000        -3.636         8.592        -3.049         9.815        -2.821        -8.480         4.410         9.966
2011 275 02 00 00.000         5.884        -3.786         0.407         7.008        11.659         1.873        -3.391        12.286
2011 276 02 00 00.000        16.487         1.022        -4.071        17.013         4.945         3.652        -2.718         6.721
2011 277 02 00 00.000        21.921         6.022        -7.504        23.940         2.887         3.309        -2.114         4.874
2011 278 02 00 00.000        25.184        10.468       -10.215        29.124         1.745         2.915        -1.687         3.793
2011 279 02 00 00.000        27.102        14.364       -12.384        33.079         0.961         2.545        -1.349         3.037
2011 280 02 00 00.000        28.043        17.744       -14.107        36.059         0.361         2.195        -1.061         2.465
2011 281 02 00 00.000        28.207        20.633       -15.439        38.206        -0.133         1.858        -0.801         2.028
2011 282 02 00 00.000        27.716        23.042       -16.412        39.604        -0.560         1.525        -0.558         1.718
2011 283 02 00 00.000        26.649        24.972       -17.042        40.301        -0.943         1.187        -0.322         1.549
2011 284 02 00 00.000        25.055        26.408       -17.334        40.319        -1.297         0.834        -0.086         1.545
2011 285 02 00 00.000        22.967        27.323       -17.283        39.658        -1.635         0.457         0.158         1.705
2011 286 02 00 00.000        20.403        27.672       -16.873        38.298        -1.964         0.039         0.418         2.009
2011 287 02 00 00.000        17.367        27.383       -16.072        36.191        -2.293        -0.440         0.705         2.439
2011 288 02 00 00.000        13.855        26.345       -14.829        33.256        -2.629        -1.017         1.038         3.003
2011 289 02 00 00.000         9.854        24.373       -13.060        29.355        -2.976        -1.761         1.447         3.748
2011 290 02 00 00.000         5.348        21.133       -10.611        24.244        -3.327        -2.830         2.003         4.805
2011 291 02 00 00.000         0.376        15.886        -7.163        17.430        -3.584        -4.707         2.897         6.587
2011 292 02 00 00.000        -4.253         6.104        -1.770         7.647        -1.819       -10.356         5.020        11.651
2011 293 02 00 00.000         8.645        -3.170        -0.520         9.223         9.347         2.957        -3.406        10.378
2011 294 02 00 00.000        17.743         1.870        -4.802        18.476         4.448         3.580        -2.589         6.270
2011 295 02 00 00.000        22.690         6.746        -8.085        25.014         2.649         3.221        -2.027         4.636
2011 296 02 00 00.000        25.684        11.072       -10.686        29.941         1.594         2.837        -1.620         3.635
2011 297 02 00 00.000        27.419        14.862       -12.767        33.700         0.852         2.475        -1.292         2.919
2011 298 02 00 00.000        28.220        18.147       -14.413        36.516         0.274         2.132        -1.010         2.375
2011 299 02 00 00.000        28.270        20.949       -15.675        38.519        -0.207         1.799        -0.754         1.962
2011 300 02 00 00.000        27.680        23.275       -16.581        39.785        -0.626         1.468        -0.512         1.676
2011 301 02 00 00.000        26.521        25.123       -17.145        40.355        -1.004         1.130        -0.276         1.537
2011 302 02 00 00.000        24.840        26.477       -17.371        40.247        -1.357         0.776        -0.038         1.564
2011 303 02 00 00.000        22.667        27.306       -17.250        39.459        -1.695         0.394         0.208         1.752
2011 304 02 00 00.000        20.015        27.561       -16.766        37.964        -2.026        -0.031         0.472         2.080
2011 305 02 00 00.000        16.890        27.163       -15.883        35.712        -2.357        -0.523         0.766         2.533
2011 306 02 00 00.000        13.283        25.992       -14.546        32.613        -2.698        -1.122         1.110         3.125
2011 307 02 00 00.000         9.179        23.843       -12.661        28.513        -3.050        -1.909         1.539         3.914
2011 308 02 00 00.000         4.563        20.334       -10.055        23.139        -3.404        -3.070         2.135         5.057
2011 309 02 00 00.000        -0.499        14.584        -6.352        15.915        -3.606        -5.235         3.141         7.090
2011 310 02 00 00.000        -4.413         3.052        -0.348         5.377         0.940       -13.149         5.614        14.328
2011 311 02 00 00.000        10.880        -2.393        -1.420        11.231         7.835         3.347        -3.270         9.127
2011 312 02 00 00.000        18.871         2.685        -5.497        19.838         4.038         3.499        -2.472         5.887
2011 313 02 00 00.000        23.404         7.434        -8.641        26.032         2.441         3.134        -1.948         4.424
2011 314 02 00 00.000        26.161        11.642       -11.143        30.727         1.462         2.760        -1.558         3.490
2011 315 02 00 00.000        27.735        15.329       -13.143        34.307         0.756         2.408        -1.241         2.812
2011 316 02 00 00.000        28.416        18.522       -14.719        36.975         0.198         2.071        -0.964         2.293
2011 317 02 00 00.000        28.367        21.239       -15.917        38.848        -0.270         1.743        -0.710         1.901
2011 318 02 00 00.000        27.692        23.487       -16.763        39.993        -0.682         1.415        -0.470         1.639
2011 319 02 00 00.000        26.457        25.260       -17.268        40.450        -1.056         1.078        -0.235         1.527
2011 320 02 00 00.000        24.705        26.540       -17.435        40.233        -1.406         0.724         0.003         1.581
2011 321 02 00 00.000        22.462        27.293       -17.255        39.334        -1.743         0.340         0.251         1.793
2011 322 02 00 00.000        19.742        27.466       -16.706        37.726        -2.074        -0.090         0.518         2.140
2011 323 02 00 00.000        16.545        26.978       -15.753        35.351        -2.409        -0.592         0.818         2.612
2011 324 02 00 00.000        12.862        25.696       -14.336        32.113        -2.753        -1.209         1.171         3.227
2011 325 02 00 00.000         8.674        23.400       -12.352        27.845        -3.111        -2.031         1.618         4.052
2011 326 02 00 00.000         3.968        19.667        -9.612        22.247        -3.466        -3.275         2.250         5.273
2011 327 02 00 00.000        -1.159        13.470        -5.684        14.666        -3.603        -5.723         3.364         7.554
2011 328 02 00 00.000        -3.687         0.133         0.797         3.774         6.900       -15.204         5.115        17.462
2011 329 02 00 00.000        12.389        -1.751        -2.104        12.688         6.969         3.464        -3.148         8.395
2011 330 02 00 00.000        19.693         3.290        -6.031        20.857         3.765         3.427        -2.389         5.624
2011 331 02 00 00.000        23.945         7.934        -9.075        26.808         2.299         3.063        -1.887         4.269
2011 332 02 00 00.000        26.540        12.046       -11.500        31.333         1.371         2.697        -1.510         3.381
2011 333 02 00 00.000        28.005        15.648       -13.435        34.780         0.691         2.352        -1.199         2.729
2011 334 02 00 00.000        28.603        18.767       -14.955        37.335         0.147         2.022        -0.926         2.229
2011 335 02 00 00.000        28.488        21.417       -16.101        39.109        -0.312         1.699        -0.676         1.855
2011 336 02 00 00.000        27.757        23.605       -16.898        40.164        -0.718         1.374        -0.437         1.611
2011 337 02 00 00.000        26.472        25.321       -17.357        40.536        -1.089         1.039        -0.203         1.519
2011 338 02 00 00.000        24.674        26.545       -17.478        40.236        -1.438         0.686         0.035         1.593
2011 339 02 00 00.000        22.385        27.244       -17.251        39.254        -1.775         0.301         0.284         1.822
2011 340 02 00 00.000        19.618        27.360       -16.653        37.560        -2.108        -0.132         0.554         2.184
2011 341 02 00 00.000        16.370        26.807       -15.647        35.091        -2.446        -0.640         0.857         2.669
2011 342 02 00 00.000        12.630        25.448       -14.169        31.747        -2.795        -1.270         1.217         3.302
2011 343 02 00 00.000         8.378        23.048       -12.111        27.351        -3.160        -2.118         1.676         4.157
2011 344 02 00 00.000         3.598        19.152        -9.269        21.579        -3.520        -3.427         2.337         5.440
2011 345 02 00 00.000        -1.586        12.603        -5.164        13.712        -3.599        -6.129         3.544         7.942
2011 346 02 00 00.000        -2.125        -2.021         1.390         3.245        13.786       -12.804         2.366        18.963
2011 347 02 00 00.000        13.372        -1.302        -2.596        13.684         6.427         3.477        -3.051         7.919
2011 348 02 00 00.000        20.265         3.805        -6.504        21.621         3.650         3.772        -2.597         5.856
2011 349 02 00 00.000        24.432         8.939        -9.856        27.820         2.291         3.403        -2.108         4.612
2011 350 02 00 00.000        27.082        13.540       -12.607        32.798         1.453         3.041        -1.745         3.795
2011 351 02 00 00.000        28.727        17.642       -14.892        36.854         0.858         2.708        -1.451         3.190
2011 352 02 00 00.000        29.625        21.285       -16.788        40.157         0.397         2.401        -1.201         2.714
2011 353 02 00 00.000        29.931        24.502       -18.348        42.812         0.022         2.112        -0.979         2.328
2011 354 02 00 00.000        29.744        27.314       -19.605        44.890        -0.295         1.836        -0.776         2.015
2011 355 02 00 00.000        29.133        29.735       -20.580        46.438        -0.573         1.566        -0.586         1.768
2011 356 02 00 00.000        28.148        31.773       -21.289        47.487        -0.822         1.299        -0.404         1.589
2011 357 02 00 00.000        26.824        33.427       -21.740        48.058        -1.048         1.030        -0.226         1.487
2011 358 02 00 00.000        25.188        34.693       -21.938        48.159        -1.258         0.755        -0.049         1.468
2011 359 02 00 00.000        23.261        35.558       -21.881        47.794        -1.456         0.469         0.129         1.535
2011 360 02 00 00.000        21.059        36.004       -21.564        46.955        -1.643         0.167         0.314         1.681
2011 361 02 00 00.000        18.594        36.001       -20.978        45.628        -1.823        -0.159         0.507         1.899
2011 362 02 00 00.000        15.876        35.510       -20.105        43.786        -1.997        -0.519         0.714         2.183
2011 363 02 00 00.000        12.912        34.472       -18.921        41.389        -2.165        -0.926         0.942         2.536
2011 364 02 00 00.000         9.711        32.806       -17.390        38.379        -2.326        -1.403         1.200         2.969
2011 365 02 00 00.000         6.287        30.387       -15.460        34.668        -2.473        -1.987         1.504         3.511
2012 001 02 00 00.000         2.667        27.017       -13.044        30.119        -2.590        -2.750         1.882         4.220
2012 002 02 00 00.000        -1.070        22.343       -10.001        24.502        -2.618        -3.850         2.394         5.235
2012 003 02 00 00.000        -4.669        15.613        -5.984        17.360        -2.317        -5.733         3.283         7.001
2012 004 02 00 00.000        -6.483         4.583        -0.377         7.948         1.252       -10.596         4.575        11.609
2012 005 02 00 00.000         7.477        -4.634         0.130         8.798        10.045         2.206        -3.733        10.941
2012 006 02 00 00.000        17.366         0.165        -4.766        18.009         4.877         3.677        -3.020         6.814
2012 007 02 00 00.000        22.866         5.296        -8.634        25.009         3.014         3.455        -2.415         5.182
2012 008 02 00 00.000        26.388        10.008       -11.774        30.579         1.973         3.137        -1.986         4.205
2012 009 02 00 00.000        28.693        14.267       -14.374        35.120         1.271         2.829        -1.654         3.515
2012 010 02 00 00.000        30.133        18.097       -16.542        38.848         0.748         2.541        -1.378         2.986
2012 011 02 00 00.000        30.907        21.527       -18.343        41.894         0.330         2.270        -1.139         2.561
2012 012 02 00 00.000        31.138        24.576       -19.820        44.344        -0.017         2.011        -0.925         2.213
2012 013 02 00 00.000        30.907        27.261       -21.003        46.255        -0.317         1.760        -0.727         1.930
2012 014 02 00 00.000        30.275        29.589       -21.910        47.667        -0.583         1.513        -0.540         1.709
2012 015 02 00 00.000        29.282        31.564       -22.555        48.605        -0.823         1.266        -0.361         1.552
2012 016 02 00 00.000        27.961        33.184       -22.946        49.087        -1.043         1.016        -0.185         1.468
2012 017 02 00 00.000        26.335        34.443       -23.085        49.120        -1.249         0.759        -0.009         1.462
2012 018 02 00 00.000        24.423        35.327       -22.972        48.705        -1.445         0.491         0.168         1.535
2012 019 02 00 00.000        22.237        35.817       -22.601        47.835        -1.631         0.207         0.351         1.681
2012 020 02 00 00.000        19.789        35.885       -21.962        46.494        -1.812        -0.100         0.542         1.894
2012 021 02 00 00.000        17.086        35.493       -21.041        44.659        -1.987        -0.439         0.747         2.168
2012 022 02 00 00.000        14.134        34.587       -19.812        42.292        -2.158        -0.822         0.971         2.505
2012 023 02 00 00.000        10.939        33.090       -18.244        39.338        -2.325        -1.270         1.223         2.917
2012 024 02 00 00.000         7.510        30.889       -16.286        35.718        -2.482        -1.815         1.518         3.429
2012 025 02 00 00.000         3.868        27.804       -13.861        31.308        -2.617        -2.518         1.879         4.089
2012 026 02 00 00.000         0.067        23.530       -10.844        25.908        -2.689        -3.511         2.356         5.010
2012 027 02 00 00.000        -3.709        17.442        -7.000        19.157        -2.519        -5.149         3.062         6.499
2012 028 02 00 00.000        -6.479         7.833        -1.814        10.326        -0.665        -8.925         4.287         9.923
2012 029 02 00 00.000         3.729        -5.062         1.296         6.419        12.695        -0.347        -3.347        13.134
2012 030 02 00 00.000        15.644        -1.195        -3.776        16.137         5.598         3.596        -3.200         7.383
2012 031 02 00 00.000        21.886         3.914        -7.785        23.557         3.383         3.475        -2.440         5.429
2012 032 02 00 00.000        25.828         8.672       -10.938        29.359         2.209         3.175        -1.983         4.347
2012 033 02 00 00.000        28.418        12.989       -13.523        34.046         1.440         2.870        -1.637         3.604
2012 034 02 00 00.000        30.066        16.878       -15.661        37.870         0.873         2.581        -1.354         3.043
2012 035 02 00 00.000        30.996        20.363       -17.425        40.976         0.425         2.307        -1.111         2.596
2012 036 02 00 00.000        31.343        23.464       -18.859        43.458         0.052         2.045        -0.894         2.232
2012 037 02 00 00.000        31.197        26.194       -19.995        45.378        -0.268         1.790        -0.694         1.938
2012 038 02 00 00.000        30.620        28.562       -20.854        46.779        -0.552         1.538        -0.506         1.711
2012 039 02 00 00.000        29.658        30.569       -21.448        47.688        -0.809         1.286        -0.325         1.553
2012 040 02 00 00.000        28.344        32.213       -21.787        48.122        -1.046         1.029        -0.148         1.475
2012 041 02 00 00.000        26.702        33.483       -21.872        48.088        -1.269         0.764         0.029         1.481
2012 042 02 00 00.000        24.750        34.366       -21.702        47.587        -1.480         0.485         0.208         1.571
2012 043 02 00 00.000        22.501        34.837       -21.271        46.609        -1.683         0.187         0.394         1.739
2012 044 02 00 00.000        19.964        34.865       -20.568        45.135        -1.882        -0.137         0.589         1.976
2012 045 02 00 00.000        17.147        34.404       -19.575        43.137        -2.076        -0.499         0.800         2.280
2012 046 02 00 00.000        14.052        33.389       -18.265        40.570        -2.268        -0.915         1.032         2.654
2012 047 02 00 00.000        10.684        31.727       -16.600        37.367        -2.456        -1.410         1.298         3.115
2012 048 02 00 00.000         7.050        29.276       -14.520        33.430        -2.636        -2.030         1.614         3.697
2012 049 02 00 00.000         3.172        25.799       -11.933        28.602        -2.788        -2.864         2.014         4.475
2012 050 02 00 00.000        -0.869        20.860        -8.673        22.608        -2.836        -4.134         2.571         5.634
2012 051 02 00 00.000        -4.322        13.578        -4.658        14.992        -2.020        -6.378         3.224         7.427
2012 052 02 00 00.000        -3.978         0.053         0.995         4.101         8.327       -13.942         3.785        16.675
2012 053 02 00 00.000        11.864         0.757        -3.360        12.354         5.893         5.019        -3.638         8.553
2012 054 02 00 00.000        17.636         7.449        -7.679        20.628         2.748         4.284        -2.521         5.680
2012 055 02 00 00.000        20.539        13.065       -10.808        26.634         1.428         3.590        -1.888         4.300
2012 056 02 00 00.000        21.987        17.777       -13.180        31.195         0.633         3.017        -1.441         3.403
2012 057 02 00 00.000        22.485        21.726       -14.983        34.671         0.073         2.520        -1.086         2.745
2012 058 02 00 00.000        22.280        24.998       -16.318        37.250        -0.360         2.068        -0.783         2.240
2012 059 02 00 00.000        21.517        27.642       -17.242        39.043        -0.715         1.641        -0.511         1.862
2012 060 02 00 00.000        20.287        29.685       -17.791        40.116        -1.017         1.226        -0.256         1.614
2012 061 02 00 00.000        18.650        31.134       -17.982        40.503        -1.285         0.809        -0.011         1.518
2012 062 02 00 00.000        16.651        31.976       -17.822        40.216        -1.526         0.377         0.234         1.589
2012 063 02 00 00.000        14.320        32.184       -17.306        39.247        -1.748        -0.082         0.487         1.816
2012 064 02 00 00.000        11.683        31.702       -16.419        37.565        -1.954        -0.589         0.754         2.176
2012 065 02 00 00.000         8.760        30.446       -15.130        35.108        -2.146        -1.172         1.051         2.661
2012 066 02 00 00.000         5.575        28.274       -13.385        31.775        -2.318        -1.879         1.394         3.293
2012 067 02 00 00.000         2.164        24.950       -11.093        27.390        -2.451        -2.806         1.820         4.147
2012 068 02 00 00.000        -1.372        20.015        -8.090        21.632        -2.466        -4.190         2.408         5.425
2012 069 02 00 00.000        -4.633        12.353        -4.007        13.788        -1.876        -6.891         3.394         7.907
2012 070 02 00 00.000        -1.701        -2.366         1.440         3.251        15.844       -10.364         0.249        18.935
2012 071 02 00 00.000        12.913         1.574        -4.025        13.617         5.258         4.914        -3.440         7.977
2012 072 02 00 00.000        18.180         8.087        -8.145        21.500         2.547         4.168        -2.420         5.451
2012 073 02 00 00.000        20.874        13.557       -11.155        27.275         1.321         3.501        -1.819         4.161
2012 074 02 00 00.000        22.196        18.155       -13.439        31.668         0.561         2.945        -1.386         3.303
2012 075 02 00 00.000        22.603        22.008       -15.170        35.005         0.016         2.457        -1.039         2.668
2012 076 02 00 00.000        22.325        25.195       -16.440        37.462        -0.408         2.011        -0.740         2.181
2012 077 02 00 00.000        21.496        27.760       -17.304        39.143        -0.758         1.588        -0.469         1.821
2012 078 02 00 00.000        20.205        29.726       -17.794        40.106        -1.059         1.172        -0.215         1.595
2012 079 02 00 00.000        18.508        31.097       -17.925        40.384        -1.326         0.753         0.031         1.525
2012 080 02 00 00.000        16.449        31.857       -17.704        39.986        -1.568         0.317         0.278         1.624
2012 081 02 00 00.000        14.056        31.972       -17.123        38.897        -1.792        -0.151         0.534         1.876
2012 082 02 00 00.000        11.354        31.385       -16.164        37.084        -2.000        -0.670         0.807         2.259
2012 083 02 00 00.000         8.363        29.999       -14.794        34.478        -2.194        -1.273         1.112         2.769
2012 084 02 00 00.000         5.107        27.662       -12.953        30.968        -2.367        -2.013         1.468         3.436
2012 085 02 00 00.000         1.630        24.104       -10.541        26.359        -2.493        -3.004         1.917         4.349
2012 086 02 00 00.000        -1.946        18.794        -7.368        20.280        -2.466        -4.541         2.555         5.764
2012 087 02 00 00.000        -5.051        10.322        -2.993        11.875        -1.514        -7.830         3.682         8.784
2012 088 02 00 00.000         2.925        -3.511         0.700         4.623        14.966         0.897        -4.332        15.606
2012 089 02 00 00.000        14.282         2.830        -4.965        15.383         4.499         4.757        -3.185         7.281
2012 090 02 00 00.000        18.900         9.104        -8.820        22.757         2.270         4.015        -2.284         5.146
2012 091 02 00 00.000        21.301        14.378       -11.670        28.225         1.168         3.380        -1.726         3.971
2012 092 02 00 00.000        22.446        18.818       -13.836        32.394         0.459         2.845        -1.313         3.166
2012 093 02 00 00.000        22.727        22.538       -15.471        35.550        -0.060         2.370        -0.977         2.564
2012 094 02 00 00.000        22.351        25.607       -16.657        37.852        -0.469         1.933        -0.684         2.103
2012 095 02 00 00.000        21.442        28.063       -17.444        39.391        -0.811         1.514        -0.418         1.767
2012 096 02 00 00.000        20.080        29.926       -17.861        40.222        -1.106         1.100        -0.166         1.569
2012 097 02 00 00.000        18.319        31.193       -17.922        40.370        -1.370         0.680         0.081         1.532
2012 098 02 00 00.000        16.197        31.847       -17.630        39.842        -1.611         0.241         0.329         1.662
2012 099 02 00 00.000        13.744        31.850       -16.975        38.620        -1.834        -0.233         0.587         1.939
2012 100 02 00 00.000        10.982        31.138       -15.938        36.663        -2.042        -0.763         0.864         2.345
2012 101 02 00 00.000         7.930        29.606       -14.481        33.899        -2.236        -1.385         1.176         2.881
2012 102 02 00 00.000         4.615        27.085       -12.539        30.201        -2.406        -2.160         1.546         3.584
2012 103 02 00 00.000         1.086        23.274       -10.000        25.354        -2.522        -3.221         2.019         4.562
2012 104 02 00 00.000        -2.505        17.550        -6.647        18.933        -2.441        -4.934         2.712         6.136
2012 105 02 00 00.000        -5.329         8.112        -1.952         9.900        -0.869        -9.033         3.999         9.916
2012 106 02 00 00.000         6.304        -2.790        -0.529         6.914        10.804         3.967        -4.555        12.378
2012 107 02 00 00.000        15.414         3.997        -5.809        16.951         3.930         4.599        -2.974         6.740
2012 108 02 00 00.000        19.516        10.051        -9.438        23.895         2.036         3.876        -2.163         4.884
2012 109 02 00 00.000        21.664        15.148       -12.143        29.091         1.032         3.269        -1.640         3.800
2012 110 02 00 00.000        22.650        19.442       -14.200        33.055         0.367         2.751        -1.245         3.041
2012 111 02 00 00.000        22.818        23.035       -15.744        36.044        -0.129         2.288        -0.918         2.468
2012 112 02 00 00.000        22.353        25.990       -16.851        38.198        -0.526         1.856        -0.631         2.030
2012 113 02 00 00.000        21.369        28.341       -17.564        39.602        -0.860         1.441        -0.367         1.718
2012 114 02 00 00.000        19.940        30.100       -17.910        40.304        -1.151         1.029        -0.117         1.549
2012 115 02 00 00.000        18.117        31.266       -17.902        40.327        -1.412         0.609         0.129         1.543
2012 116 02 00 00.000        15.937        31.815       -17.539        39.671        -1.651         0.166         0.378         1.702
2012 117 02 00 00.000        13.427        31.705       -16.812        38.316        -1.873        -0.315         0.639         2.004
2012 118 02 00 00.000        10.607        30.866       -15.696        36.216        -2.082        -0.859         0.922         2.434
2012 119 02 00 00.000         7.498        29.184       -14.151        33.289        -2.276        -1.502         1.242         2.997
2012 120 02 00 00.000         4.126        26.470       -12.105        29.398        -2.445        -2.316         1.626         3.740
2012 121 02 00 00.000         0.547        22.385        -9.434        24.298        -2.548        -3.457         2.128         4.793
2012 122 02 00 00.000        -3.044        16.197        -5.887        17.500        -2.392        -5.390         2.886         6.566
2012 123 02 00 00.000        -5.362         5.523        -0.828         7.742         0.423       -10.721         4.328        11.569
2012 124 02 00 00.000         8.826        -1.639        -1.727         9.142         8.305         4.697        -4.213        10.430
2012 125 02 00 00.000        16.419         5.126        -6.607        18.426         3.465         4.435        -2.785         6.279
2012 126 02 00 00.000        20.077        10.961       -10.028        24.976         1.826         3.739        -2.048         4.638
2012 127 02 00 00.000        21.993        15.879       -12.592        29.907         0.905         3.155        -1.555         3.632
